transcript_name,eps_name,confidence,transcript_filepath,eps_value
Marcus Corporation,MARCUS  MILLICHAP INC,100.0,transcripts_by_company/Marcus_Corporation_2015Q4.txt,0.79
Worthington Industries,WORTHINGTON INDUSTRIES INC,100.0,transcripts_by_company/Worthington_Industries_2007Q2.txt,0.1
Finish Line,FINISH LINE INC,100.0,transcripts_by_company/Finish_Line_2007Q3.txt,0.7
The Progressive Corporation,PROGRESSIVE B NY,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.51
Gemstar,GEMSTAR INTERNATIONAL GROUP LTD,100.0,transcripts_by_company/Gemstar-TV_Guide_International_Inc_2006Q3.txt,0.12
Nucor Corporation,NUCOR CORP,100.0,transcripts_by_company/Nucor_Corporation_2007Q1.txt,0.26
Smurfit-Stone Container Corporation,SMURFIT-STONE CONTAINER CORP,100.0,transcripts_by_company/Smurfit-Stone_Container_Corporation_2007Q3.txt,0.04
LSI Industries,LSI CORP,100.0,transcripts_by_company/LSI_Industries_2006Q2.txt,-0.12
TriQuint Semiconductor,TRIQUINT SEMICONDUCTOR INC,100.0,transcripts_by_company/TriQuint_Semiconductor_2007Q2.txt,-0.02
Calpine,CALPINE CORPORATION,100.0,transcripts_by_company/Calpine_2002Q1.txt,1.95
"Rent-A-Center, Inc.",RENT-A-CENTER INC,100.0,transcripts_by_company/Rent-A-Center_Inc_2007Q2.txt,1.2
Zixit,ZIXIT CORPORATION,100.0,transcripts_by_company/Zixit_2002Q2.txt,-0.56
Teradyne,TERADYNE INC,100.0,transcripts_by_company/Teradyne_2006Q2.txt,-0.4
"Insight Enterprises, Inc.","INSIGHT ENTERPRISES, INC.",100.0,transcripts_by_company/Insight_Enterprises_Inc_2007Q2.txt,0.28
SGI,QSGI INC,85.71428571428571,transcripts_by_company/SGI_2008Q4.txt,-0.02
Navistar International,NAVISTAR INTERNATIONAL CORP,100.0,transcripts_by_company/Navistar_International_2007Q2.txt,-2.25
Register.com,REGISTER.COM INC,100.0,transcripts_by_company/Registercom_2005Q2.txt,0.08
"Discovery Partners International, Inc.",DISCOVERY INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.31
Discovery Partners International,DISCOVERY INC,100.0,transcripts_by_company/Kimball_International_2007Q2.txt,0.31
"IMPCO Technologies, Inc.",IMPCO TECHNOLOGIES INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.11
"Handspring, Inc.",HANDSPRING INC,100.0,transcripts_by_company/Handspring_Inc_2003Q2.txt,-0.14
UCBH Holdings,"UCBH HOLDINGS, INC.",100.0,transcripts_by_company/UCBH_Holdings_2007Q1.txt,0.45
Coventry Health Care,COVENTRY CORP,100.0,transcripts_by_company/NDCHealth_Corp_2002Q1.txt,0.13
Toro,CONCHA Y TORO,100.0,transcripts_by_company/Toro_2006Q4.txt,
II-VI,II-VI INC,100.0,transcripts_by_company/II-VI_2007Q2.txt,0.08
"Cytec Industries, Inc.","CYTEC INDUSTRIES, INC.",100.0,transcripts_by_company/Cytec_Industries_Inc_2007Q2.txt,0.42
"Bright Horizons Family Solutions, Incorporated",BRIGHT HORIZONS FAMILY SOLUTIONS,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,0.25
Mohawk Industries,IE INDUSTRIES,86.95652173913044,transcripts_by_company/Electro_Scientific_Industries_Inc_2007Q3.txt,0.09
"Pentair, Inc.",PENTAIR CORPORATION,100.0,transcripts_by_company/Pentair_Inc_2007Q2.txt,0.43
