Cusip,Company_Name,Ticker,anndats,transcript_date,actual_eps,forecast_eps
30260D10,FIGS INC,FIGS,2022-05-12,2022-05-12,0.05,0.06
30260D10,FIGS INC,FIGS,2022-08-04,2022-08-04,0.03,0.02
30260D10,FIGS INC,FIGS,2022-11-10,2022-11-10,0.02,0.02
30260D10,FIGS INC,FIGS,2023-02-28,2023-02-28,0.05,0.11
30260D10,FIGS INC,FIGS,2023-05-04,2023-05-04,0.01,0.0
30260D10,FIGS INC,FIGS,2023-08-03,2023-08-03,0.02,0.01
30260D10,FIGS INC,FIGS,2023-11-02,2023-11-02,0.03,0.02
30263310,FSI INTERNATIONAL,FSII,2002-03-14,2002-03-14,-0.25,-0.27
30263310,FSI INTERNATIONAL,FSII,2002-06-18,2002-06-18,-0.34,-0.4
30263310,FSI INTERNATIONAL,FSII,2002-10-15,2002-10-15,-0.32,-1.05
30263310,FSI INTERNATIONAL,FSII,2002-12-17,2002-12-17,-0.36,-0.4
30263310,FSI INTERNATIONAL,FSII,2003-03-18,2003-03-18,-0.39,-0.39
30263310,FSI INTERNATIONAL,FSII,2003-06-24,2003-06-24,-0.45,-0.32
30263310,FSI INTERNATIONAL,FSII,2003-10-21,2003-10-21,-0.06,-1.41
30263310,FSI INTERNATIONAL,FSII,2003-12-18,2003-12-18,-0.1,-0.16
30263310,FSI INTERNATIONAL,FSII,2004-03-23,2004-03-23,-0.09,-0.16
30263310,FSI INTERNATIONAL,FSII,2004-06-22,2004-06-22,0.13,0.0
30263310,FSI INTERNATIONAL,FSII,2004-10-19,2004-10-19,0.11,-0.01
30263310,FSI INTERNATIONAL,FSII,2004-12-21,2004-12-21,-0.11,-0.1
30263310,FSI INTERNATIONAL,FSII,2005-03-22,2005-03-22,-0.1,-0.1
30263310,FSI INTERNATIONAL,FSII,2005-06-21,2005-06-21,-0.07,-0.17
30263310,FSI INTERNATIONAL,FSII,2005-10-18,2005-10-18,-0.06,-0.43
30263310,FSI INTERNATIONAL,FSII,2005-12-20,2005-12-20,-0.14,-0.24
30263310,FSI INTERNATIONAL,FSII,2006-03-21,2006-03-21,-0.11,-0.13
30263310,FSI INTERNATIONAL,FSII,2006-06-20,2006-06-20,-0.08,-0.07
30263310,FSI INTERNATIONAL,FSII,2006-10-17,2006-10-17,0.1,-0.29
30263310,FSI INTERNATIONAL,FSII,2006-12-19,2006-12-19,0.06,0.03
30263310,FSI INTERNATIONAL,FSII,2007-03-20,2007-03-20,-0.02,0.0
30263310,FSI INTERNATIONAL,FSII,2007-06-19,2007-06-19,-0.19,-0.12
30263310,FSI INTERNATIONAL,FSII,2007-10-16,2007-10-16,-0.21,-0.28
30263310,FSI INTERNATIONAL,FSII,2007-12-18,2007-12-18,-0.07,-0.09
30263310,FSI INTERNATIONAL,FSII,2008-03-25,2008-03-25,-0.03,-0.02
30263310,FSI INTERNATIONAL,FSII,2008-06-24,2008-06-24,-0.05,-0.04
30263310,FSI INTERNATIONAL,FSII,2008-10-21,2008-10-21,-0.3,-0.23
30263310,FSI INTERNATIONAL,FSII,2008-12-23,2008-12-23,-0.17,-0.15
30263310,FSI INTERNATIONAL,FSII,2009-03-31,2009-03-31,-0.3,-0.15
30263310,FSI INTERNATIONAL,FSII,2009-06-30,2009-06-30,-0.09,-0.09
30263310,FSI INTERNATIONAL,FSII,2009-10-27,2009-10-27,0.0,-0.63
30263310,FSI INTERNATIONAL,FSII,2009-12-22,2009-12-22,0.0,-0.03
30263310,FSI INTERNATIONAL,FSII,2010-03-30,2010-03-30,0.02,0.03
30263310,FSI INTERNATIONAL,FSII,2010-06-24,2010-06-24,0.18,0.09
30263310,FSI INTERNATIONAL,FSII,2010-10-19,2010-10-19,0.17,0.36
30263310,FSI INTERNATIONAL,FSII,2010-12-21,2010-12-21,-0.06,-0.09
30263310,FSI INTERNATIONAL,FSII,2011-03-22,2011-03-22,0.13,0.11
30263310,FSI INTERNATIONAL,FSII,2011-06-21,2011-06-21,0.1,0.13
30263310,FSI INTERNATIONAL,FSII,2011-10-18,2011-10-18,0.05,0.24
30263310,FSI INTERNATIONAL,FSII,2011-12-20,2011-12-20,-0.08,-0.06
30263310,FSI INTERNATIONAL,FSII,2012-03-20,2012-03-20,0.09,0.05
30263310,FSI INTERNATIONAL,FSII,2012-06-19,2012-06-19,0.27,0.21
30263510,FS KKR CAPITAL CORP,FSIC,2015-11-09,2015-11-09,-0.02,0.23
30263520,FS KKR CAPITAL CORP,FSK,2023-05-05,2023-05-05,0.78,0.74
30269310,FXCM INC,FXCM,2011-03-02,2011-03-02,0.24,0.93
30269310,FXCM INC,FXCM,2011-05-17,2011-05-16,0.18,0.22
30269310,FXCM INC,FXCM,2011-08-11,2011-08-11,0.21,0.2
30269310,FXCM INC,FXCM,2011-11-10,2011-11-10,0.23,0.26
30269310,FXCM INC,FXCM,2012-03-14,2012-03-14,0.28,0.8
30269310,FXCM INC,FXCM,2012-05-09,2012-05-09,0.17,0.17
30269310,FXCM INC,FXCM,2012-08-09,2012-08-09,0.11,0.13
30269310,FXCM INC,FXCM,2013-03-07,2013-03-07,0.13,0.61
30269310,FXCM INC,FXCM,2013-05-07,2013-05-07,0.23,0.26
30269310,FXCM INC,FXCM,2013-08-07,2013-08-07,0.31,0.23
30269310,FXCM INC,FXCM,2013-11-07,2013-11-07,0.13,0.18
30269310,FXCM INC,FXCM,2014-03-06,2014-03-06,0.1,0.78
30269310,FXCM INC,FXCM,2014-05-08,2014-05-08,0.07,0.14
30269310,FXCM INC,FXCM,2014-08-07,2014-08-07,-0.02,0.03
30269310,FXCM INC,FXCM,2014-11-06,2014-11-06,0.11,0.07
30269310,FXCM INC,FXCM,2015-03-12,2015-03-12,0.2,0.34
30269310,FXCM INC,FXCM,2015-08-06,2015-08-06,-0.03,-0.07
30269310,FXCM INC,FXCM,2015-11-05,2015-11-05,-13.79,-0.16
30269510,FX ENERGY INC,FXEN,2008-08-07,2008-08-07,-0.04,-0.06
30269510,FX ENERGY INC,FXEN,2009-03-16,2009-03-16,-1.09,-0.28
30269510,FX ENERGY INC,FXEN,2009-08-10,2009-08-10,0.26,-0.06
30269510,FX ENERGY INC,FXEN,2010-11-09,2010-11-09,0.51,0.03
30269510,FX ENERGY INC,FXEN,2011-03-07,2011-03-07,-0.04,-0.01
30269510,FX ENERGY INC,FXEN,2011-05-09,2011-05-09,0.14,-0.01
30269510,FX ENERGY INC,FXEN,2011-08-09,2011-08-09,-0.02,0.04
30269510,FX ENERGY INC,FXEN,2011-11-09,2011-11-09,-0.03,-0.01
30269510,FX ENERGY INC,FXEN,2012-03-12,2012-03-12,-0.05,-0.05
30269510,FX ENERGY INC,FXEN,2012-05-10,2012-05-10,0.0,0.01
30269510,FX ENERGY INC,FXEN,2012-08-09,2012-08-09,0.02,0.01
30269510,FX ENERGY INC,FXEN,2012-11-09,2012-11-09,-0.12,0.01
30269510,FX ENERGY INC,FXEN,2014-03-13,2014-03-13,0.08,-0.33
30269510,FX ENERGY INC,FXEN,2014-05-08,2014-05-08,-0.02,-0.01
30269510,FX ENERGY INC,FXEN,2014-08-11,2014-08-11,-0.08,-0.01
30281V10,FTD COMPANIES INC,FTD,2015-08-05,2015-08-05,0.89,0.56
30281V10,FTD COMPANIES INC,FTD,2016-03-10,2016-03-10,0.55,2.03
30281V10,FTD COMPANIES INC,FTD,2016-05-05,2016-05-05,0.53,0.53
30281V10,FTD COMPANIES INC,FTD,2016-08-04,2016-08-04,0.86,0.88
30281V10,FTD COMPANIES INC,FTD,2016-11-07,2016-11-07,0.18,0.06
30281V10,FTD COMPANIES INC,FTD,2017-03-14,2017-03-14,0.49,2.06
30281V10,FTD COMPANIES INC,FTD,2017-05-09,2017-05-09,0.48,0.39
30281V10,FTD COMPANIES INC,FTD,2017-08-08,2017-08-08,0.35,0.43
30281V10,FTD COMPANIES INC,FTD,2017-11-08,2017-11-08,0.23,-0.28
30281V10,FTD COMPANIES INC,FTD,2018-04-02,2018-04-02,-6.07,-2.11
30281V10,FTD COMPANIES INC,FTD,2018-05-08,2018-05-08,-0.24,0.11
30281V10,FTD COMPANIES INC,FTD,2018-08-08,2018-08-08,0.13,0.37
30281V10,FTD COMPANIES INC,FTD,2018-11-07,2018-11-07,-0.39,-0.47
30281V10,FTD COMPANIES INC,FTD,2019-03-14,2019-03-14,-2.44,-5.7
30283W10,FTS INTERNATIONAL INC,FTSI,2019-05-08,2019-05-08,0.05,0.08
30292L10,FRP HOLDINGS INC,FRPH,2017-05-02,2017-05-02,0.14,0.19
30294110,FTI CONSULTING INC,FCN,2006-10-31,2006-10-31,0.32,0.32
30294110,FTI CONSULTING INC,FCN,2007-02-15,2007-02-12,0.42,1.31
30294110,FTI CONSULTING INC,FCN,2007-05-01,2007-05-01,0.36,0.39
30294110,FTI CONSULTING INC,FCN,2007-08-03,2007-08-03,0.53,0.43
30294110,FTI CONSULTING INC,FCN,2007-11-01,2007-11-01,0.5,0.48
30294110,FTI CONSULTING INC,FCN,2008-02-28,2008-02-28,0.6,1.98
30294110,FTI CONSULTING INC,FCN,2008-05-07,2008-05-07,0.59,0.46
30294110,FTI CONSULTING INC,FCN,2008-08-06,2008-08-06,0.66,0.6
30294110,FTI CONSULTING INC,FCN,2008-11-05,2008-11-05,0.51,0.61
30294110,FTI CONSULTING INC,FCN,2009-03-02,2009-03-02,0.58,2.31
30294110,FTI CONSULTING INC,FCN,2009-04-29,2009-04-29,0.6,0.5
30294110,FTI CONSULTING INC,FCN,2009-08-04,2009-08-04,0.69,0.64
30294110,FTI CONSULTING INC,FCN,2009-11-04,2009-11-04,0.7,0.66
