CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
34341210,2002.0,3.0,0.58,0.54,34341210,FLUOR CORP,Fluor Corporation,high,transcripts_by_company/Fluor_Corporation_2002Q3.txt,2002-07-31,2002-07-30,0.54,2002-07-30,high
73688F10,2019.0,3.0,0.06,0.09,73688F10,PORTMAN RIDGE FINANCE CORP,Portman Ridge Finance Corporation,high,transcripts_by_company/Portman_Ridge_Finance_Corporation_2019Q3.txt,2019-08-07,2019-08-06,0.02,2019-08-06,high
19259P30,2010.0,2.0,0.39,0.38,19259P30,COINSTAR INC,"Coinstar, Inc.",high,transcripts_by_company/Coinstar_Inc_2010Q2.txt,2010-04-29,2010-04-29,0.21,2010-04-29,high
64110L10,2009.0,4.0,0.56,0.39,64110L10,NETFLIX INC,Netflix,high,transcripts_by_company/Netflix_2009Q4.txt,2009-10-22,2009-10-22,0.52,2009-10-22,high
15018510,2014.0,2.0,0.79,1.01,15018510,CEDAR FAIR LP,"Cedar Fair, LP",high,transcripts_by_company/Cedar_Fair_LP_2014Q2.txt,2014-05-08,2014-05-08,-1.51,2014-05-08,high
00120410,2007.0,2.0,0.4,0.39,00120410,AGL RESOURCES INC,AGL Resources,high,transcripts_by_company/AGL_Resources_2007Q2.txt,2007-05-02,2007-05-02,1.3,2007-05-02,high
M8186510,2007.0,3.0,-0.14,,M8186510,RADCOM LTD,Radcom Ltd.,high,transcripts_by_company/Radcom_Ltd_2007Q3.txt,2007-07-23,2007-07-23,-0.21,2007-07-23,high
05334D10,2011.0,3.0,-0.08,-0.17,05334D10,AUXILIUM PHARMACEUTICALS INC,"Auxilium Pharmaceuticals, Inc.",high,transcripts_by_company/Auxilium_Pharmaceuticals_Inc_2011Q3.txt,2011-08-01,2011-08-01,-0.11,2011-08-01,high
62936P10,2013.0,3.0,-0.01,-0.04,62936P10,NPS PHARMACEUTICALS INCORPORATED,"NPS Pharmaceuticals, Inc.",high,transcripts_by_company/NPS_Pharmaceuticals_Inc_2013Q3.txt,2013-09-09,2013-11-06,-0.01,2013-11-06,high
03076K10,2018.0,3.0,0.91,0.92,03076K10,AMERIS BANCORP,Ameris Bancorp,high,transcripts_by_company/Ameris_Bancorp_2018Q3.txt,2018-07-27,2018-07-27,0.74,2018-07-27,high
77504310,2006.0,2.0,0.82,0.7,77504310,ROFIN-SINAR TECHNOLOGY INC,Rofin-Sinar,high,transcripts_by_company/Rofin-Sinar_2006Q2.txt,2006-05-04,2006-05-04,0.75,2006-05-04,high
59851110,2012.0,1.0,0.53,0.35,59851110,MIDWESTONE FINANCIAL GROUP INC (,MidWestOne Financial Group Inc,high,transcripts_by_company/MidWestOne_Financial_Group_Inc_2012Q1.txt,2012-01-26,2012-01-26,1.49,2012-01-26,high
06390410,2014.0,3.0,0.4,0.74,06390410,BANK OF THE OZARKS INC,"Bank of the Ozarks, Inc.",high,transcripts_by_company/Bank_of_the_Ozarks_Inc_2014Q3.txt,2014-07-15,2014-07-14,0.34,2014-07-14,high
69037010,2019.0,1.0,-1.21,-0.36,69037010,OVERSTOCK.COM INC,"Overstock.com, Inc.",high,transcripts_by_company/Overstockcom_Inc_2019Q1.txt,2019-03-18,2019-03-18,-6.98,2019-03-18,high
52687210,2006.0,4.0,-1.72,-0.54,52687210,LESCO INC,"Lesco, Inc.",high,transcripts_by_company/Lesco_Inc_2006Q4.txt,2006-10-27,2006-10-27,-0.25,2006-10-27,high
