CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
12611710,2014.0,3.0,0.68,0.88,12611710,CNA FINANCIAL CORP,CNA Financial Corporation,high,transcripts_by_company/CNA_Financial_Corporation_2014Q3.txt,2014-08-04,2014-08-04,1.0,2014-08-04,high
71676810,2011.0,3.0,0.54,0.49,71676810,PETSMART INC,PetSmart Inc.,high,transcripts_by_company/PetSmart_Inc_2011Q3.txt,2011-09-08,2011-11-16,0.5,2011-11-16,high
68198910,2008.0,2.0,0.17,0.29,68198910,OMRIX BIOPHARMACEUTICALS INC,Omrix Biopharmaceuticals,high,transcripts_by_company/Omrix_Biopharmaceuticals_2008Q2.txt,2008-05-09,2008-05-09,0.12,2008-05-09,high
24982720,2009.0,4.0,,0.0,24982720,DERMA SCIENCES INC.,Derma Sciences,high,transcripts_by_company/Derma_Sciences_2009Q4.txt,2009-11-16,2009-11-13,0.0,2009-11-13,high
11258510,2020.0,2.0,-0.43,0.84,11258510,BROOKFIELD ASSET MANAGEMENT INC,Brookfield Asset Management Inc.,high,transcripts_by_company/Brookfield_Asset_Management_Inc_2020Q2.txt,2020-05-14,2020-05-14,-0.2,2020-05-14,high
76097510,2012.0,3.0,-0.27,0.57,76097510,RESEARCH IN MOTION LTD,Research In Motion Limited,high,transcripts_by_company/Research_In_Motion_Limited_2012Q3.txt,2012-09-27,2012-09-27,-0.27,2012-09-27,high
64120L10,2007.0,4.0,0.32,0.33,64120L10,NETWORK APPLIANCE INC,Network Appliance,high,transcripts_by_company/Network_Appliance_2007Q4.txt,2007-11-14,2007-11-14,0.32,2007-11-14,high
Q9030710,2017.0,3.0,0.171,0.187,Q9030710,WAREHOUSE GROUP LTD,The Warehouse Group Limited,high,transcripts_by_company/The_Warehouse_Group_Limited_2017Q3.txt,2017-09-21,2017-09-22,0.171,2017-09-22,high
12328X10,2005.0,2.0,0.32,0.25,12328X10,BUSINESS OBJECTS SA,Business Objects S.A.,high,transcripts_by_company/Business_Objects_SA_2005Q2.txt,2005-04-28,2005-04-28,0.24,2005-04-28,high
01234810,2018.0,3.0,0.85,0.61,01234810,ALBANY INTERNATIONAL CORP,Albany International Corp.,high,transcripts_by_company/Albany_International_Corp_2018Q3.txt,2018-08-07,2018-08-06,0.82,2018-08-06,high
80603710,2017.0,3.0,0.76,0.84,80603710,SCANSOURCE INC,"ScanSource, Inc.",high,transcripts_by_company/ScanSource_Inc_2017Q3.txt,2017-08-29,2017-08-29,2.75,2017-08-29,high
02357610,2023.0,4.0,0.24,0.69,02357610,AMERANT BANCORP INC,Amerant Bancorp Inc.,high,transcripts_by_company/Amerant_Bancorp_Inc_2023Q4.txt,2023-10-20,2023-10-19,0.66,2023-10-19,high
39945C1X,2007.0,2.0,0.17,0.14,39945C1X,CGI GROUP INC,"CGI Group, Inc.",high,transcripts_by_company/CGI_Group_Inc_2007Q2.txt,2007-05-02,2007-05-02,0.16,2007-05-02,high
69328210,2020.0,4.0,-0.03,0.09,69328210,PDF SOLUTIONS INC,"PDF Solutions, Inc.",high,transcripts_by_company/PDF_Solutions_Inc_2020Q4.txt,2020-11-05,2020-11-05,0.0,2020-11-05,high
11133B40,2017.0,3.0,0.38,0.62,11133B40,BROADSOFT INC,"BroadSoft, Inc.",high,transcripts_by_company/BroadSoft_Inc_2017Q3.txt,2017-08-07,2017-08-07,0.4,2017-08-07,high
01877210,2010.0,4.0,,,01877210,ALLIANCE ONE INTERNATIONAL INC,Onex Corp.,high,transcripts_by_company/Onex_Corp_2010Q4.txt,2010-11-10,2010-11-04,,2010-11-04,high
26874R10,2019.0,2.0,,,26874R10,ENI SPA,Davide Campari-Milano S.p.A.,high,transcripts_by_company/Davide_Campari-Milano_SpA_2019Q2.txt,2019-05-07,2019-07-26,,2019-07-26,high
83542D10,2022.0,1.0,-0.6,-0.29,83542D10,SONDER HOLDINGS INC,Sonder Holdings Inc.,high,transcripts_by_company/Sonder_Holdings_Inc_2022Q1.txt,2022-03-09,2022-05-16,-0.6,2022-05-16,high
30066A10,2011.0,1.0,0.05,0.02,30066A10,EXAMWORKS GROUP INC,"ExamWorks Group, Inc.",high,transcripts_by_company/ExamWorks_Group_Inc_2011Q1.txt,2011-01-11,2011-03-03,0.0,2011-03-03,high
67082310,2004.0,1.0,0.34,0.36,67082310,O'CHARLEY'S INC,"O'Charley's, Inc.",high,transcripts_by_company/OCharleys_Inc_2004Q1.txt,2004-02-06,2004-02-06,1.01,2004-02-06,high
28238P10,2012.0,1.0,0.1,0.07,28238P10,EHEALTH INC,eHealth Inc,high,transcripts_by_company/eHealth_Inc_2012Q1.txt,2012-02-16,2012-02-16,0.31,2012-02-16,high
32055Y20,2017.0,2.0,0.59,0.57,32055Y20,FIRST INTERSTATE BANCSYSTEM INC,"First Interstate BancSystem, Inc.",high,transcripts_by_company/First_Interstate_BancSystem_Inc_2017Q2.txt,2017-04-26,2017-04-25,0.51,2017-04-25,high
29251M10,2022.0,4.0,-1.39,4.33,29251M10,ENANTA PHARMACEUTICALS INC,"Enanta Pharmaceuticals, Inc.",high,transcripts_by_company/Enanta_Pharmaceuticals_Inc_2022Q4.txt,2022-11-21,2022-11-21,-5.91,2022-11-21,high
03759810,2016.0,3.0,0.77,0.65,03759810,APOGEE ENTERPRISES INC,"Apogee Enterprises, Inc.",high,transcripts_by_company/Apogee_Enterprises_Inc_2016Q3.txt,2016-09-15,2016-09-14,0.77,2016-09-14,high
88343A10,2005.0,4.0,-0.1,0.0,88343A10,THERMA-WAVE INC,"Therma-Wave, Inc.",high,transcripts_by_company/Therma-Wave_Inc_2005Q4.txt,2005-10-27,2005-10-27,-0.11,2005-10-27,high
19933310,2007.0,3.0,0.54,0.45,19933310,COLUMBUS MCKINNON CORP,Columbus McKinnon Corp.,high,transcripts_by_company/Columbus_McKinnon_Corp_2007Q3.txt,2007-07-24,2007-07-24,0.49,2007-07-24,high
13043910,2007.0,1.0,0.02,0.04,13043910,CALIFORNIA MICRO DEVICES CP,California Micro Devices Corp.,high,transcripts_by_company/California_Micro_Devices_Corp_2007Q1.txt,2007-01-18,2007-01-18,0.06,2007-01-18,high
04335310,2009.0,1.0,-0.12,0.52,04335310,ARVINMERITOR INC,"ArvinMeritor, Inc.",high,transcripts_by_company/ArvinMeritor_Inc_2009Q1.txt,2009-01-14,2009-02-04,-0.77,2009-02-04,high
50533610,2017.0,3.0,0.21,0.33,50533610,LA-Z-BOY INC,La-Z-Boy Incorporated,high,transcripts_by_company/La-Z-Boy_Incorporated_2017Q3.txt,2017-08-23,2017-08-22,0.21,2017-08-22,high
20825C10,2004.0,2.0,2.88,1.44,20825C10,CONOCOPHILLIPS,ConocoPhillips Company,high,transcripts_by_company/ConocoPhillips_Company_2004Q2.txt,2004-06-02,2004-07-28,2.88,2004-07-28,high
12673P10,2015.0,4.0,0.63,0.62,12673P10,CA INC,CA Technologies,high,transcripts_by_company/CA_Technologies_2015Q4.txt,2015-10-21,2015-10-21,0.56,2015-10-21,high
20441B40,2012.0,3.0,,,20441B40,COMPANHIA PARANAENSE DE ENERGIA,Copel Companhia Paranaense de Energia,high,transcripts_by_company/Copel_Companhia_Paranaense_de_Energia_2012Q3.txt,2012-08-24,2012-08-14,,2012-08-14,high
78190410,2004.0,4.0,-4.81,-1.54,78190410,RURAL CELLULAR CORP CL A,Rural Cellular Corporation,high,transcripts_by_company/Rural_Cellular_Corporation_2004Q4.txt,2004-11-15,2004-11-12,0.17,2004-11-12,high
55254110,2008.0,4.0,0.82,,55254110,M & F WORLDWIDE CORP,M&amp;F Worldwide Corp.,medium,transcripts_by_company/MandF_Worldwide_Corp_2008Q4.txt,2008-11-12,2008-11-03,1.04,2008-11-03,medium
21683110,2002.0,4.0,0.32,0.41,21683110,COOPER TIRE,Cooper Tire and Rubber,high,transcripts_by_company/Cooper_Tire_and_Rubber_2002Q4.txt,2002-10-16,2002-10-16,0.31,2002-10-16,high
42210P10,2009.0,3.0,-0.08,0.27,42210P10,HEADWATERS,Headwaters Inc.,high,transcripts_by_company/Headwaters_Inc_2009Q3.txt,2009-08-04,2009-08-04,0.81,2009-08-04,high
37247D10,2007.0,1.0,0.75,0.76,37247D10,GENWORTH FINANCIAL INC,Genworth Financial,high,transcripts_by_company/Genworth_Financial_2007Q1.txt,2007-02-13,2007-02-01,2.89,2007-02-01,high
29909610,2007.0,4.0,-0.1,0.25,29909610,EVANS & SUTHERLAND COMPUTER,Evans &amp; Sutherland Corporation,high,transcripts_by_company/Evans_and_Sutherland_Corporation_2007Q4.txt,2007-11-02,2007-11-01,-0.15,2007-11-01,high
02319V10,2017.0,1.0,0.045,0.01,02319V10,AMBEV SA,Ambev SA,high,transcripts_by_company/Ambev_SA_2017Q1.txt,2017-03-02,2017-03-02,0.215,2017-03-02,high
68243Q10,2021.0,1.0,0.02,-0.09,68243Q10,1-800-FLOWERS.COM INC,"1-800-FLOWERS.COM, Inc.",high,transcripts_by_company/1-800-FLOWERSCOM_Inc_2021Q1.txt,2021-01-28,2021-01-28,1.72,2021-01-28,high
03475V10,2015.0,1.0,0.12,0.16,03475V10,ANGIODYNAMICS INC,"AngioDynamics, Inc.",high,transcripts_by_company/AngioDynamics_Inc_2015Q1.txt,2015-01-08,2015-01-08,0.17,2015-01-08,high
89687P10,2005.0,3.0,0.05,0.15,89687P10,TRIZEC PROPERTIES INC,Trizec Properties,high,transcripts_by_company/Trizec_Properties_2005Q3.txt,2005-08-04,2005-08-04,0.29,2005-08-04,high
37155910,2009.0,3.0,0.43,0.53,37155910,GENESEE & WYOMING INC-CL A,Genesee &amp; Wyoming,high,transcripts_by_company/Genesee_and_Wyoming_2009Q3.txt,2009-07-30,2009-07-30,0.35,2009-07-30,high
