filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/BORLAND_SOFTWARE_2004Q4.txt,09984910,BORL,BORLAND SOFTWARE,0.37,0.33
/Users/vazea/Desktop/NNW/transcripts_by_company/POOL_CORP_2022Q1.txt,73278L10,POOL,POOL CORP,4.23,3.17
/Users/vazea/Desktop/NNW/transcripts_by_company/ABBVIE_INC_2021Q2.txt,00287Y10,ABBV,ABBVIE INC,3.09,3.08
/Users/vazea/Desktop/NNW/transcripts_by_company/YIELD10_BIOSCIENCE_INC_2021Q4.txt,98585K86,YTEN,YIELD10 BIOSCIENCE INC,-2.33,-2.36
/Users/vazea/Desktop/NNW/transcripts_by_company/SOTHEBYS_2009Q1.txt,83589810,BID,SOTHEBY'S,-0.53,-0.52
/Users/vazea/Desktop/NNW/transcripts_by_company/AMARIN_CORPORATION_PLC_2015Q4.txt,02311120,AMRN,AMARIN CORPORATION PLC,-0.56,-0.57
/Users/vazea/Desktop/NNW/transcripts_by_company/NOVELLUS_SYSTEMS_2007Q3.txt,67000810,NVLS,NOVELLUS SYSTEMS,0.41,0.38
/Users/vazea/Desktop/NNW/transcripts_by_company/Q2_HOLDINGS_INC_2014Q4.txt,74736L10,QTWO,Q2 HOLDINGS INC,-0.51,-0.49
/Users/vazea/Desktop/NNW/transcripts_by_company/ICON_PLC_2006Q2.txt,45103T10,ICLR,ICON PLC,0.49,0.56
/Users/vazea/Desktop/NNW/transcripts_by_company/FOUNDATION_COAL_HOLDINGS_INC_2006Q4.txt,35039W10,FCL,FOUNDATION COAL HOLDINGS INC,1.35,1.51
/Users/vazea/Desktop/NNW/transcripts_by_company/REGIONS_FINANCIAL_CORP_2006Q4.txt,7591EP10,RF,REGIONS FINANCIAL CORP,2.81,2.88
/Users/vazea/Desktop/NNW/transcripts_by_company/CALAMP_CORP_2022Q3.txt,12812610,CAMP,CALAMP CORP,-0.08,0.08
/Users/vazea/Desktop/NNW/transcripts_by_company/FREEPORTMCMORAN_INC_2021Q2.txt,35671D85,FCX,FREEPORT-MCMORAN INC,0.77,0.77
/Users/vazea/Desktop/NNW/transcripts_by_company/KINDER_MORGAN_INC_2019Q1.txt,49456B10,KMI,KINDER MORGAN INC,0.25,0.24
/Users/vazea/Desktop/NNW/transcripts_by_company/EMCOR_GROUP_INC_2006Q1.txt,29084Q10,EME,EMCOR GROUP INC,0.24,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/RITHM_CAPITAL_CORP_2016Q4.txt,64828T20,NRZ,RITHM CAPITAL CORP,2.14,2.09
/Users/vazea/Desktop/NNW/transcripts_by_company/COLFAX_CORP_2017Q1.txt,19401410,CFX,COLFAX CORP,0.35,0.29
/Users/vazea/Desktop/NNW/transcripts_by_company/TSAKOS_ENERGY_NAVIGATION_LTD_2021Q1.txt,G9108L10,TNP,TSAKOS ENERGY NAVIGATION LTD,-0.71,-0.94
/Users/vazea/Desktop/NNW/transcripts_by_company/AMERICAN_WOODMARK_CORP_2010Q3.txt,03050610,AMWD,AMERICAN WOODMARK CORP,-0.65,-0.33
/Users/vazea/Desktop/NNW/transcripts_by_company/INSMED_INC_2019Q1.txt,45766930,INSM,INSMED INC,-0.96,-0.93
/Users/vazea/Desktop/NNW/transcripts_by_company/MATSON_INC_2022Q2.txt,57686G10,MATX,MATSON INC,9.49,8.27
/Users/vazea/Desktop/NNW/transcripts_by_company/EXPRESS_INC_2015Q1.txt,30219E10,EXPR,EXPRESS INC,0.06,0.14
/Users/vazea/Desktop/NNW/transcripts_by_company/FORMFACTOR_INC_2022Q4.txt,34637510,FORM,FORMFACTOR INC,1.26,1.22
/Users/vazea/Desktop/NNW/transcripts_by_company/BGC_PARTNERS_INC_2012Q2.txt,05541T10,BGCP,BGC PARTNERS INC,0.17,0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/CHRISTOPHER_BANKS_CORP_2014Q4.txt,17104610,CBK,CHRISTOPHER & BANKS CORP,0.24,0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/VITAL_SIGNS_INC_2005Q2.txt,92846910,VITL,VITAL SIGNS INC,0.46,0.53
/Users/vazea/Desktop/NNW/transcripts_by_company/AMTECH_SYSTEMS_INC_2021Q3.txt,03233250,ASYS,AMTECH SYSTEMS INC,0.03,0.0
/Users/vazea/Desktop/NNW/transcripts_by_company/CINTAS_CORP_2018Q2.txt,17290810,CTAS,CINTAS CORP,1.31,1.25
/Users/vazea/Desktop/NNW/transcripts_by_company/SEASPINE_HOLDINGS_CORP_2019Q4.txt,81255T10,SPNE,SEASPINE HOLDINGS CORP,-2.07,-2.06
/Users/vazea/Desktop/NNW/transcripts_by_company/EQUINIX_2002Q3.txt,29444U10,EQIX,EQUINIX,-0.3,0.37
/Users/vazea/Desktop/NNW/transcripts_by_company/WORLD_KINECT_CORP_2017Q3.txt,98147510,INT,WORLD KINECT CORP,0.6,0.61
/Users/vazea/Desktop/NNW/transcripts_by_company/STAPLES_INC_2010Q2.txt,85503010,SPLS,STAPLES INC,0.16,0.16
/Users/vazea/Desktop/NNW/transcripts_by_company/HEWLETT_PACKARD_ENTERPRISE_CO_2021Q4.txt,42824C10,HPE,HEWLETT PACKARD ENTERPRISE CO,1.96,1.92
/Users/vazea/Desktop/NNW/transcripts_by_company/BIO_RAD_LABORATORIES_INC_2019Q1.txt,09057220,BIO,BIO RAD LABORATORIES INC,1.65,1.09
/Users/vazea/Desktop/NNW/transcripts_by_company/DEL_FRISCOS_RESTAURANT_GRUP_INC_2017Q4.txt,24507710,DFRG,DEL FRISCO'S RESTAURANT GRUP INC,0.75,0.74
/Users/vazea/Desktop/NNW/transcripts_by_company/AGIOS_PHARMACEUTICALS_INC_2018Q4.txt,00847X10,AGIO,AGIOS PHARMACEUTICALS INC,-6.03,-6.13
