ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
CEMEX SAB DE CV,1.0,0.02,0.09,transcripts_by_company/Mexichem_SAB_de_CV_2018Q1.txt,0.2833728492259979,0.7166271507740021
CRACKER BARREL OLD COUNTRY STORE,3.0,-0.85,2.63,transcripts_by_company/Cracker_Barrel_Old_Country_Store_Inc_2020Q3.txt,0.37349623441696167,0.6265037655830383
HYTHIAM INC,3.0,-0.13,-0.12,transcripts_by_company/Hythiam_Inc_2008Q3.txt,0.28763920068740845,0.7123607993125916
MTS SYSTEMS CORP,4.0,0.47,0.55,transcripts_by_company/MTS_Systems_2007Q4.txt,0.19794334471225739,0.8020566552877426
PHYSICIANS FORMULA HOLDINGS INC,2.0,-0.01,0.19,transcripts_by_company/Physicians_Formula_Holdings_Inc_2007Q2.txt,0.38246583938598633,0.6175341606140137
NEKTAR THERAPEUTICS,3.0,-0.7,-0.77,transcripts_by_company/Nektar_Therapeutics_2021Q3.txt,0.23668530583381653,0.7633146941661835
CBIZ INC,1.0,0.45,0.45,transcripts_by_company/CBIZ_Inc_2017Q1.txt,0.14369675517082214,0.8563032448291779
IMATION CORPORATION,1.0,0.33,0.38,transcripts_by_company/Imation_Corp_2008Q1.txt,0.18644797801971436,0.8135520219802856
CHOICE HOTELS INTERNATIONAL INC,4.0,0.32,0.63,transcripts_by_company/Choice_Hotels_International_Inc_2005Q4.txt,0.22570118308067322,0.7742988169193268
ENDOLOGIX INC,4.0,-0.08,-0.14,transcripts_by_company/Endologix_Inc_2015Q4.txt,0.356049507856369,0.643950492143631
WHIRLPOOL CORP,1.0,2.11,1.9,transcripts_by_company/Whirlpool_Corporation_2011Q1.txt,0.1018356904387474,0.8981643095612526
AFFILIATED MANAGERS GROUP INC,3.0,3.02,3.2,transcripts_by_company/Affiliated_Managers_Group_Inc_2016Q3.txt,0.1693459004163742,0.8306540995836258
SS&C TECHNOLOGIES HOLDINGS INC,4.0,1.08,1.04,transcripts_by_company/SSandC_Technologies_Holdings_Inc_2019Q4.txt,0.20734798908233643,0.7926520109176636
CORIXA CORP,2.0,-0.15,-0.49,transcripts_by_company/Corixa_2003Q2.txt,0.3040502071380615,0.6959497928619385
STANTEC INC,4.0,0.29,0.22,transcripts_by_company/Stantec_Inc_2006Q4.txt,0.2249668538570404,0.7750331461429596
NOVARTIS AG,3.0,0.92,0.98,transcripts_by_company/Novartis_Corporation_2008Q3.txt,0.10054163634777069,0.8994583636522293
HOLOGIC INC,1.0,0.29,0.31,transcripts_by_company/Hologic_2011Q1.txt,0.27495887875556946,0.7250411212444305
DIAMOND OFFSHORE DRILLING INC,1.0,0.93,1.14,transcripts_by_company/Diamond_Offshore_Drilling_Inc_2014Q1.txt,0.09206264466047287,0.9079373553395271
TECHTARGET INC,4.0,0.03,0.15,transcripts_by_company/TechTarget_2008Q4.txt,0.0814228504896164,0.9185771495103836
PEERLESS SYSTEMS CP,2.0,-0.26,-0.2,transcripts_by_company/Peerless_Systems_Corporation_2004Q2.txt,0.29117095470428467,0.7088290452957153
INNATE PHARMA SA,4.0,-0.81,0.45,transcripts_by_company/NattoPharma_ASA_2020Q4.txt,0.15013960003852844,0.8498603999614716
KLA-TENCOR CORP,3.0,0.5,0.5,transcripts_by_company/KLA-Tencor_2005Q3.txt,0.24956029653549194,0.7504397034645081
STEALTHGAS INC,4.0,0.03,0.06,transcripts_by_company/StealthGas_Inc_2020Q4.txt,0.2558055520057678,0.7441944479942322
GRAHAM CORP,4.0,0.11,0.12,transcripts_by_company/Graham_Corporation_2020Q4.txt,0.22906598448753357,0.7709340155124664
