ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
VECTRUS INC,4.0,1.42,1.21,transcripts_by_company/Vectrus_Inc_2020Q4.txt,0.1383519023656845,0.8616480976343155
DANA CORP,2.0,0.35,0.57,transcripts_by_company/Dana_2005Q2.txt,0.3473864495754242,0.6526135504245758
MITEK SYSTEMS INC,1.0,-0.09,-0.05,transcripts_by_company/Mitek_Systems_Inc_2013Q1.txt,0.18848280608654022,0.8115171939134598
WAL-MART STORES INC,1.0,1.61,1.67,transcripts_by_company/Wal-mart_Stores_Inc_2015Q1.txt,0.14451554417610168,0.8554844558238983
PEGASYSTEMS INC,2.0,0.3,0.08,transcripts_by_company/Pegasystems_Inc_2009Q2.txt,0.13937872648239136,0.8606212735176086
RAE SYSTEMS INC,4.0,0.01,0.02,transcripts_by_company/RAE_Systems_2004Q4.txt,0.25451669096946716,0.7454833090305328
MDXHEALTH SA,2.0,-0.3,-0.43,transcripts_by_company/MDxHealth_SA_2023Q2.txt,0.24779929220676422,0.7522007077932358
AVEO PHARMACEUTICALS INC,3.0,0.1,-0.04,transcripts_by_company/AVEO_Pharmaceuticals_Inc_2019Q3.txt,0.2462845742702484,0.7537154257297516
EXPEDIA GROUP INC,2.0,1.77,1.57,transcripts_by_company/Pendal_Group_Limited_2019Q2.txt,0.2554430067539215,0.7445569932460785
FULL HOUSE RESORTS INC,2.0,-0.07,-0.03,transcripts_by_company/Full_House_Resorts_Inc_2017Q2.txt,0.14590828120708466,0.8540917187929153
LA-Z-BOY INC,4.0,0.82,0.36,transcripts_by_company/La-Z-Boy_Incorporated_2020Q4.txt,0.16946755349636078,0.8305324465036392
GUIDANT CORPORATION,1.0,0.56,0.52,transcripts_by_company/Guidant_Corporation_2004Q1.txt,0.1366947889328003,0.8633052110671997
SIRIUS SATELLITE RADIO INC,2.0,-0.13,-0.11,transcripts_by_company/SIRIUS_Satellite_Radio_2005Q2.txt,0.13589198887348175,0.8641080111265182
AFFILIATED MANAGERS GROUP INC,2.0,2.74,3.37,transcripts_by_company/Affiliated_Managers_Group_Inc_2020Q2.txt,0.17985117435455322,0.8201488256454468
ANGIODYNAMICS INC,4.0,0.17,0.09,transcripts_by_company/AngioDynamics_2014Q4.txt,0.3041714131832123,0.6958285868167877
COMMERCIAL VEHICLE GROUP INC,2.0,0.03,0.2,transcripts_by_company/Commercial_Vehicle_Group_Inc_2013Q2.txt,0.061936598271131516,0.9380634017288685
SYMANTEC CORP,4.0,0.44,0.41,transcripts_by_company/Symantec_Corporation_2018Q4.txt,0.17069081962108612,0.8293091803789139
MEDNAX INC,3.0,0.86,0.86,transcripts_by_company/MEDNAX_Inc_2014Q3.txt,0.32867926359176636,0.6713207364082336
TERNIUM SA,4.0,0.2,1.73,transcripts_by_company/Ternium_SA_2022Q4.txt,0.300746351480484,0.699253648519516
GREIF BROS CORP,3.0,0.44,0.66,transcripts_by_company/Greif_Bros_Corporation_2002Q3.txt,0.25961586833000183,0.7403841316699982
