ticker,period,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
ESTERLINE CORP,2.0,0.84,0.78,transcripts_by_company/Esterline_Technologies_Corporation_2008Q2.txt,0.08297235518693924,0.1388227939605713,0.9002725131809711,True
ENDO PHARMACEUTICALS,1.0,1.09,1.29,transcripts_by_company/Endo_Pharmaceuticals_Holdings_Inc_2013Q1.txt,0.17355455458164215,0.26772966980934143,0.7981929108500481,True
WET SEAL INC,4.0,0.04,0.05,transcripts_by_company/The_Wet_Seal_Inc_2010Q4.txt,0.27643483877182007,0.1495184749364853,0.7616400703787803,True
COINSTAR INC,2.0,0.15,0.3,transcripts_by_company/Coinstar_2006Q2.txt,0.17439928650856018,0.012917952612042427,0.8740451136603952,True
MERITAGE CORPORATION,1.0,-1.72,-0.36,transcripts_by_company/Meritage_Homes_Corporation_2008Q1.txt,0.14024005830287933,-0.059554941952228546,0.919698441773653,True
LPL INVESTMENT HOLDINGS INC,3.0,0.46,0.43,transcripts_by_company/Marfin_Investment_Group_Holdings_SA_2011Q3.txt,0.09690064936876297,-0.028685078024864197,0.9407750688493252,True
SOLERA HOLDINGS INC,3.0,0.62,0.82,transcripts_by_company/Solera_Holdings_Inc_2015Q3.txt,0.2608429193496704,0.0,0.7391570806503296,False
AUDIOCODES LTD,2.0,0.37,0.34,transcripts_by_company/AudioCodes_Ltd_2021Q2.txt,0.11542168259620667,0.14662976562976837,0.8752158924937248,True
OLIN CORP,4.0,1.49,2.24,transcripts_by_company/Olin_Corporation_2022Q4.txt,0.34767845273017883,0.26750460267066956,0.6763737022876739,True
BODY CENTRAL CORP,1.0,0.36,0.41,transcripts_by_company/Body_Central_Corp_2012Q1.txt,0.12854166328907013,0.0378522090613842,0.8986651729792356,True
NANOMETRICS INC,1.0,0.12,0.39,transcripts_by_company/Nanometrics_2012Q1.txt,0.20131857693195343,0.03146108612418175,0.8496386703103781,True
UNDER ARMOUR INC,3.0,0.51,0.67,transcripts_by_company/Under_Armour_Inc_2008Q3.txt,0.14492975175380707,0.17939749360084534,0.8447299256920815,True
FIRST HORIZON CORP,2.0,-0.58,-0.06,transcripts_by_company/First_Horizon_National_Corporation_2009Q2.txt,0.16672039031982422,0.12615881860256195,0.8454480811953544,True
ATLANTIC POWER CORP,3.0,0.21,-0.03,transcripts_by_company/Atlantic_Power_Corporation_2017Q3.txt,0.3209250867366791,0.31784799695014954,0.6799980401992798,True
CONCERT PHARMACEUTICALS INC,3.0,-0.6,-0.91,transcripts_by_company/Concert_Pharmaceuticals_Inc_2020Q3.txt,0.19601649045944214,0.1338105946779251,0.822645278275013,True
SINA CORP,3.0,0.42,0.25,transcripts_by_company/Sina_Corporation_2013Q3.txt,0.16234815120697021,0.2446364462375641,0.8129653602838516,True
PHARMATHENE INC,4.0,-0.17,-0.26,transcripts_by_company/Pharmathene_2008Q4.txt,0.24626238644123077,0.13693782687187195,0.7865349814295769,True
AVALONBAY COMMUNITIES INC,1.0,1.05,1.15,transcripts_by_company/AvalonBay_Communities_Inc_2023Q1.txt,0.1366521567106247,0.19233956933021545,0.846641619503498,True
SENSIENT TECHNOLOGIES CORP,1.0,0.89,0.93,transcripts_by_company/Sensient_Technologies_Corporation_2018Q1.txt,0.20058847963809967,0.18531477451324463,0.8039936318993568,True
ENCOMPASS HEALTH CORP,1.0,1.04,0.93,transcripts_by_company/Encompass_Health_Corporation_2019Q1.txt,0.20875340700149536,0.11331752687692642,0.8198773570358753,True
CELLEBRITE DI LTD,2.0,0.0,0.03,transcripts_by_company/Cellebrite_DI_Ltd_2022Q2.txt,0.10430318862199783,0.14670874178409576,0.8829751454293728,True
CULP INC,1.0,0.18,0.29,transcripts_by_company/Culp_Inc_2011Q1.txt,0.1487073302268982,0.32609522342681885,0.7980763018131256,True
BECTON DICKINSON AND CO,3.0,1.39,1.46,transcripts_by_company/Becton_Dickinson_and_Company_2011Q3.txt,0.19517111778259277,0.2366899698972702,0.792373226583004,True
GRAFTECH INTERNATIONAL LTD,2.0,0.11,0.19,transcripts_by_company/GrafTech_International_Ltd_2005Q2.txt,0.08083207905292511,0.23811157047748566,0.8719840735197067,True
MR COOPER GROUP INC,4.0,1.03,0.42,transcripts_by_company/Mr_Cooper_Group_Inc_2019Q4.txt,0.17528940737247467,0.24879008531570435,0.8026603892445564,True
FOOT LOCKER INC,3.0,0.29,0.31,transcripts_by_company/Foot_Locker_Inc_2004Q3.txt,0.3116346001625061,0.22060497105121613,0.7156742885708809,True
AMNEAL PHARMACEUTICALS INC,4.0,0.08,0.22,transcripts_by_company/Amneal_Pharmaceuticals_Inc_2019Q4.txt,0.19732780754566193,0.38368818163871765,0.7467640802264214,True
AMERICAN PUBLIC EDUCATION INC,3.0,0.61,0.64,transcripts_by_company/American_Public_Education_Inc_2013Q3.txt,0.19727101922035217,0.32182639837265015,0.7653623670339584,True
SARA LEE CORPORATION,2.0,0.09,0.29,transcripts_by_company/Sara_Lee_Corporation_2010Q2.txt,0.10861305892467499,-0.007842686958611012,0.9263236648403108,True
MARINEMAX INC,4.0,0.19,0.66,transcripts_by_company/MarineMax_Inc_2023Q4.txt,0.3920046389102936,0.3219738006591797,0.6290046125650406,True
NIC INC,4.0,0.03,0.04,transcripts_by_company/NIC_Inc_2006Q4.txt,0.24929626286029816,0.14264626801013947,0.7826987355947495,True
LUXOTTICA GROUP SPA,4.0,0.27,0.34,transcripts_by_company/Luxottica_Group_SpA_2015Q4.txt,0.06717443466186523,0.21462523937225342,0.8885903239250184,True
PACCAR INC,3.0,1.21,1.12,transcripts_by_company/PACCAR_Inc_2015Q3.txt,0.07426030188798904,0.15265688300132751,0.9022207237780094,True
FLEXSHOPPER INC,3.0,-0.32,0.13,transcripts_by_company/FlexShopper_Inc_2022Q3.txt,0.29334497451782227,0.2501188814640045,0.7196228533983231,True
TYLER TECHNOLOGIES INC,1.0,0.17,0.2,transcripts_by_company/Tyler_Technologies_2012Q1.txt,0.23408205807209015,0.26643937826156616,0.7562107458710671,True
TEXTRON INC,3.0,0.83,0.7,transcripts_by_company/Textron_Inc_2004Q3.txt,0.13558608293533325,0.4423157274723053,0.7723950237035752,True
KONA GRILL INC,1.0,-0.07,-0.1,transcripts_by_company/Kona_Grill_Inc_2010Q1.txt,0.141380175948143,0.16132554411888123,0.8526362136006356,True
MYRIAD GENETICS INC,2.0,0.12,-0.02,transcripts_by_company/Myriad_Genetics_Inc_2021Q2.txt,0.2145882397890091,0.3728870451450348,0.7379221186041832,True
