eps_name,quarter,actual_eps,forecast_eps,filepath
ATKR,2016Q4,0.24,1.0,/Users/vazea/Desktop/NNW/transcripts_by_company/ATKORE_INC_2016Q4.txt
RSI,2022Q3,-0.08,-0.11,/Users/vazea/Desktop/NNW/transcripts_by_company/RUSH_STREET_INTERACTIVE_INC_2022Q3.txt
JOBY,2022Q3,-0.14,-0.15,/Users/vazea/Desktop/NNW/transcripts_by_company/JOBY_AVIATION_INC_2022Q3.txt
SCMR,2005Q1,-0.03,-0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/SYCAMORE_NETWORKS_INC_2005Q1.txt
PII,2018Q3,1.86,1.56,/Users/vazea/Desktop/NNW/transcripts_by_company/POLARIS_INC_2018Q3.txt
COP,2019Q4,0.76,3.59,/Users/vazea/Desktop/NNW/transcripts_by_company/CONOCOPHILLIPS_2019Q4.txt
TMHC,2014Q4,0.84,2.04,/Users/vazea/Desktop/NNW/transcripts_by_company/TAYLOR_MORRISON_HOME_CORP_2014Q4.txt
RUTH,2010Q1,0.17,0.12,/Users/vazea/Desktop/NNW/transcripts_by_company/RUTHS_HOSPITALITY_GROUP_INC_2010Q1.txt
PEG,2012Q2,0.43,0.46,/Users/vazea/Desktop/NNW/transcripts_by_company/PUBLIC_SERVICE_ENTERPRISE_GROUP_2012Q2.txt
RBA,2005Q3,0.13,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/RITCHIE_BROS_AUCTIONEERS_INC_2005Q3.txt
ACM,2011Q1,0.48,0.49,/Users/vazea/Desktop/NNW/transcripts_by_company/AECOM_2011Q1.txt
TTWO,2020Q1,0.27,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/TAKETWO_INTERACTIVE_SOFTWARE_IN_2020Q1.txt
AAP,2011Q4,0.9,4.96,/Users/vazea/Desktop/NNW/transcripts_by_company/ADVANCE_AUTO_PARTS_INC_2011Q4.txt
NJR,2022Q1,0.69,0.75,/Users/vazea/Desktop/NNW/transcripts_by_company/NEW_JERSEY_RESOURCES_CORP_2022Q1.txt
KMX,2009Q4,0.17,0.11,/Users/vazea/Desktop/NNW/transcripts_by_company/CARMAX_INC_2009Q4.txt
RRR,2018Q3,0.2,0.26,/Users/vazea/Desktop/NNW/transcripts_by_company/RED_ROCK_RESORTS_INC_2018Q3.txt
SPH,2011Q1,1.21,1.39,/Users/vazea/Desktop/NNW/transcripts_by_company/SUBURBAN_PROPANE_PARTNERS_LP_2011Q1.txt
IDC,2005Q2,0.23,0.24,/Users/vazea/Desktop/NNW/transcripts_by_company/INTERACTIVE_DATA_CORP_2005Q2.txt
SASR,2005Q4,0.54,2.28,/Users/vazea/Desktop/NNW/transcripts_by_company/SANDY_SPRING_BANCORP_INC_2005Q4.txt
RKDA,2018Q1,-1.74,-1.4,/Users/vazea/Desktop/NNW/transcripts_by_company/ARCADIA_BIOSCIENCES_INC_2018Q1.txt
MNRO,2013Q4,0.25,1.32,/Users/vazea/Desktop/NNW/transcripts_by_company/MONRO_INC_2013Q4.txt
IPG,2012Q3,0.15,0.17,/Users/vazea/Desktop/NNW/transcripts_by_company/INTERPUBLIC_GROUP_OF_COMPANIES_I_2012Q3.txt
