ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
NASDAQ OMX GROUP INC,4.0,0.15,0.11,transcripts_by_company/OMX_AB_2005Q4.txt,0.13060511648654938,0.8693948835134506
INTRA-CELLULAR THERAPIES INC,4.0,-0.75,-1.04,transcripts_by_company/Intra-Cellular_Therapies_Inc_2018Q4.txt,0.3072013854980469,0.6927986145019531
NETLIST INC,2.0,-0.11,-0.07,transcripts_by_company/Netlist_Inc_2008Q2.txt,0.333732545375824,0.666267454624176
FUEL TECH INC,3.0,0.05,0.08,transcripts_by_company/QUANTUM_FUEL_SYS_TECH_WORLDWDE_2005Q3.txt,0.0946972519159317,0.9053027480840683
DEMAND MEDIA INC,2.0,0.09,0.07,transcripts_by_company/Demand_Media_Inc_2012Q2.txt,0.24617815017700195,0.753821849822998
ALLIANCE DATA SYSTEMS CORP,1.0,2.83,2.94,transcripts_by_company/Alliance_Data_Systems_2014Q1.txt,0.24307666718959808,0.7569233328104019
NVIDIA CORP,3.0,0.07,-0.06,transcripts_by_company/NVIDIA_Corporation_2009Q3.txt,0.17056258022785187,0.8294374197721481
NUVEI CORP,3.0,0.39,0.57,transcripts_by_company/Nuvei_Corporation_2023Q3.txt,0.1369263380765915,0.8630736619234085
KIMCO REALTY CORP,2.0,0.04,0.06,transcripts_by_company/Kimco_Realty_Corporation_2010Q2.txt,0.24964487552642822,0.7503551244735718
GOL LINHAS AEREAS INTELIGENTES S,2.0,-0.28,-0.13,transcripts_by_company/GOL_Linhas_Aereas_Inteligentes_SA_2014Q2.txt,0.15990310907363892,0.8400968909263611
TWIN DISC INC,4.0,0.04,-0.13,transcripts_by_company/Twin_Disc_Incorporated_2017Q4.txt,0.29187870025634766,0.7081212997436523
GREEN MOUNTAIN COFFEE INC.,1.0,0.64,0.78,transcripts_by_company/Green_Mountain_Coffee_Roasters_Inc_2012Q1.txt,0.18961793184280396,0.810382068157196
ALLEGION PLC,1.0,0.61,0.66,transcripts_by_company/Allegion_plc_2016Q1.txt,0.1296844780445099,0.8703155219554901
SPS COMMERCE INC,4.0,0.35,0.55,transcripts_by_company/SPS_Commerce_Inc_2019Q4.txt,0.06268080323934555,0.9373191967606544
LCI INDUSTRIES,1.0,1.38,2.02,transcripts_by_company/LCI_Industries_2019Q1.txt,0.2939314842224121,0.7060685157775879
LECROY CORPORATION,3.0,0.26,0.26,transcripts_by_company/LeCroy_Corp_2011Q3.txt,0.3850637674331665,0.6149362325668335
ROYAL DUTCH SHELL PLC,4.0,0.6,0.58,transcripts_by_company/Royal_Dutch_Shell_plc_2017Q4.txt,0.23056191205978394,0.7694380879402161
GREEN PLAINS INC,4.0,0.12,0.39,transcripts_by_company/Green_Plains_Inc_CurrentQ4.txt,0.18942517042160034,0.8105748295783997
WINGSTOP INC,3.0,0.21,0.2,transcripts_by_company/Wingstop_Inc_2018Q3.txt,0.13756468892097473,0.8624353110790253
FULGENT GENETICS INC,4.0,-0.06,0.07,transcripts_by_company/Fulgent_Genetics_Inc_2017Q4.txt,0.10679939389228821,0.8932006061077118
TENET HEALTHCARE CORP,1.0,1.42,1.7,transcripts_by_company/Tenet_Healthcare_Corporation_2023Q1.txt,0.2497948706150055,0.7502051293849945
SHOCKWAVE MEDICAL INC,3.0,-0.38,-0.51,transcripts_by_company/ShockWave_Medical_Inc_2020Q3.txt,0.2721036374568939,0.7278963625431061
COMPANHIA BRASILEIRA DE DISTRIBC,4.0,0.88,0.65,transcripts_by_company/Companhia_Brasileira_de_Distribuicao_2009Q4.txt,0.16263699531555176,0.8373630046844482
CCC INFORMATION SERVICES GROUP,1.0,0.22,0.23,transcripts_by_company/CCC_Information_Services_Inc_2004Q1.txt,0.25469163060188293,0.7453083693981171
